"DateTime","Current Funding","Daily Funding"
"2022-02-26 22:00:00",0.295,0.299
"2022-02-27 00:00:00",0.314,0.304
"2022-02-27 02:00:00",0.292,0.313
"2022-02-27 04:00:00",0.229,0.316
"2022-02-27 06:00:00",0.175,0.312
"2022-02-27 08:00:00",0.139,0.299
"2022-02-27 10:00:00",0.262,0.286
"2022-02-27 12:00:00",0.22,0.273
"2022-02-27 14:00:00",0.196,0.268
"2022-02-28 08:00:00",0.323,0.281
"2022-02-28 10:00:00",0.339,0.292
"2022-02-28 12:00:00",0.324,0.301
"2022-02-28 14:00:00",0.369,0.306
"2022-02-28 16:00:00",0.201,0.309
"2022-02-28 18:00:00",0.234,0.306
"2022-02-28 20:00:00",0.32,0.303
"2022-02-28 22:00:00",0.283,0.3
"2022-03-01 00:00:00",0.22,0.296
"2022-03-01 02:00:00",0.326,0.295
"2022-03-01 04:00:00",0.302,0.298
"2022-03-01 06:00:00",0.291,0.294
"2022-03-01 08:00:00",0.327,0.299
"2022-03-01 10:00:00",0.382,0.3
"2022-03-01 12:00:00",0.372,0.305
"2022-03-01 14:00:00",0.25,0.301
"2022-03-01 16:00:00",0.337,0.303
"2022-03-01 18:00:00",0.3,0.313
"2022-03-01 20:00:00",0.279,0.311
"2022-03-01 22:00:00",0.312,0.311
"2022-03-02 00:00:00",0.275,0.318
"2022-03-02 02:00:00",0.369,0.325
"2022-03-02 04:00:00",0.228,0.324
"2022-03-02 06:00:00",0.289,0.324
"2022-03-02 08:00:00",0.28,0.317
"2022-03-02 10:00:00",0.263,0.311
"2022-03-02 12:00:00",0.31,0.304
"2022-03-02 14:00:00",0.31,0.307
"2022-03-02 16:00:00",0.331,0.307
"2022-03-02 18:00:00",0.364,0.307
"2022-03-02 20:00:00",0.354,0.313
"2022-03-02 22:00:00",0.306,0.318
"2022-03-03 00:00:00",0.312,0.318
"2022-03-03 02:00:00",0.337,0.317
"2022-03-03 04:00:00",0.32,0.318
"2022-03-03 06:00:00",0.311,0.321
"2022-03-03 08:00:00",0.247,0.322
"2022-03-03 10:00:00",0.284,0.321
"2022-03-03 12:00:00",0.228,0.317
"2022-03-03 14:00:00",0.239,0.309
"2022-03-03 16:00:00",0.364,0.31
"2022-03-03 18:00:00",0.391,0.315
"2022-03-03 20:00:00",0.386,0.316
"2022-03-03 22:00:00",0.379,0.321
"2022-03-04 00:00:00",0.294,0.322
"2022-03-04 02:00:00",0.4,0.331
"2022-03-04 04:00:00",0.312,0.33
"2022-03-04 06:00:00",0.29,0.329
"2022-03-04 08:00:00",0.298,0.33
"2022-03-04 10:00:00",0.275,0.331
"2022-03-04 12:00:00",0.249,0.332
"2022-03-04 14:00:00",0.293,0.336
"2022-03-04 16:00:00",0.35,0.338
"2022-03-04 18:00:00",0.318,0.335
"2022-03-04 20:00:00",0.335,0.332
"2022-03-04 22:00:00",0.348,0.328
"2022-03-05 00:00:00",0.349,0.334
"2022-03-05 02:00:00",0.35,0.328
"2022-03-05 04:00:00",0.317,0.331
"2022-03-05 06:00:00",0.329,0.332
"2022-03-05 08:00:00",0.235,0.332
"2022-03-05 10:00:00",0.268,0.33
"2022-03-05 12:00:00",0.293,0.331
"2022-03-05 14:00:00",0.319,0.332
"2022-03-05 16:00:00",0.28,0.329
"2022-03-05 18:00:00",0.25,0.321
"2022-03-05 20:00:00",0.251,0.314
"2022-03-05 22:00:00",0.265,0.304
"2022-03-06 00:00:00",0.231,0.291
"2022-03-06 02:00:00",0.226,0.28
"2022-03-06 04:00:00",0.276,0.272
"2022-03-06 06:00:00",0.262,0.267
"2022-03-06 08:00:00",0.325,0.266
"2022-03-06 10:00:00",0.351,0.274
"2022-03-06 14:00:00",0.28,0.284
"2022-03-06 16:00:00",0.322,0.286
"2022-03-06 18:00:00",0.264,0.287
"2022-03-06 20:00:00",0.317,0.289
"2022-03-06 22:00:00",0.26,0.293
"2022-03-07 00:00:00",0.356,0.299
"2022-03-07 02:00:00",0.356,0.313
"2022-03-07 04:00:00",0.395,0.327
"2022-03-07 06:00:00",0.327,0.334
"2022-03-07 08:00:00",0.285,0.335
"2022-03-07 10:00:00",0.243,0.327
"2022-03-07 12:00:00",0.246,0.317
"2022-03-07 18:00:00",0.315,0.26
"2022-03-07 20:00:00",0.367,0.266
"2022-03-07 22:00:00",0.274,0.277
"2022-03-08 00:00:00",0.284,0.276